utc_time,station,city,temp_f
2026-07-09T18:13:54+00:00,KNYC,New York City,79.0
2026-07-09T18:13:54+00:00,KMIA,Miami,91.4
2026-07-09T18:13:54+00:00,KDEN,Denver,78.1
2026-07-09T18:13:54+00:00,KLAX,Los Angeles,71.6
2026-07-09T18:13:54+00:00,KPHL,Philadelphia,73.4
2026-07-09T18:13:54+00:00,KAUS,Austin,93.2
2026-07-09T18:13:54+00:00,KMDW,Chicago,82.4
2026-07-09T18:39:46+00:00,KNYC,New York City,77.0
2026-07-09T18:39:46+00:00,KMIA,Miami,91.4
2026-07-09T18:39:46+00:00,KDEN,Denver,82.9
2026-07-09T18:39:46+00:00,KLAX,Los Angeles,71.6
2026-07-09T18:39:46+00:00,KPHL,Philadelphia,75.2
2026-07-09T18:39:46+00:00,KAUS,Austin,93.2
2026-07-09T18:39:46+00:00,KMDW,Chicago,82.4
2026-07-09T20:02:32+00:00,KNYC,New York City,77.0
2026-07-09T20:02:32+00:00,KMIA,Miami,91.4
2026-07-09T20:02:32+00:00,KDEN,Denver,86.0
2026-07-09T20:02:32+00:00,KLAX,Los Angeles,73.4
2026-07-09T20:02:32+00:00,KPHL,Philadelphia,78.8
2026-07-09T20:02:32+00:00,KAUS,Austin,96.8
2026-07-09T20:02:32+00:00,KMDW,Chicago,84.2
2026-07-09T21:40:03+00:00,KNYC,New York City,73.9
2026-07-09T21:40:03+00:00,KMIA,Miami,89.6
2026-07-09T21:40:03+00:00,KDEN,Denver,87.1
2026-07-09T21:40:03+00:00,KLAX,Los Angeles,73.4
2026-07-09T21:40:03+00:00,KPHL,Philadelphia,77.0
2026-07-09T21:40:03+00:00,KAUS,Austin,98.6
2026-07-09T21:40:03+00:00,KMDW,Chicago,86.0
2026-07-09T22:53:04+00:00,KNYC,New York City,73.9
2026-07-09T22:53:04+00:00,KMIA,Miami,89.6
2026-07-09T22:53:04+00:00,KDEN,Denver,82.9
2026-07-09T22:53:04+00:00,KLAX,Los Angeles,73.4
2026-07-09T22:53:04+00:00,KPHL,Philadelphia,77.0
2026-07-09T22:53:04+00:00,KAUS,Austin,96.8
2026-07-09T22:53:04+00:00,KMDW,Chicago,86.0
2026-07-09T23:55:21+00:00,KNYC,New York City,73.9
2026-07-09T23:55:21+00:00,KMIA,Miami,87.8
2026-07-09T23:55:21+00:00,KDEN,Denver,73.9
2026-07-09T23:55:21+00:00,KLAX,Los Angeles,71.6
2026-07-09T23:55:21+00:00,KPHL,Philadelphia,75.2
2026-07-09T23:55:21+00:00,KAUS,Austin,95.0
2026-07-09T23:55:21+00:00,KMDW,Chicago,84.2
2026-07-10T01:24:31+00:00,KNYC,New York City,73.9
2026-07-10T01:24:31+00:00,KMIA,Miami,86.0
2026-07-10T01:24:31+00:00,KDEN,Denver,75.0
2026-07-10T01:24:31+00:00,KLAX,Los Angeles,69.8
2026-07-10T01:24:31+00:00,KPHL,Philadelphia,75.2
2026-07-10T01:24:31+00:00,KAUS,Austin,89.6
2026-07-10T01:24:31+00:00,KMDW,Chicago,82.4
2026-07-10T05:13:09+00:00,KNYC,New York City,73.9
2026-07-10T05:13:09+00:00,KMIA,Miami,86.0
2026-07-10T05:13:09+00:00,KDEN,Denver,66.9
2026-07-10T05:13:09+00:00,KLAX,Los Angeles,64.9
2026-07-10T05:13:09+00:00,KPHL,Philadelphia,75.2
2026-07-10T05:13:09+00:00,KAUS,Austin,78.8
2026-07-10T05:13:09+00:00,KMDW,Chicago,75.2
2026-07-10T08:39:52+00:00,KNYC,New York City,73.0
2026-07-10T08:39:52+00:00,KMIA,Miami,84.2
2026-07-10T08:39:52+00:00,KDEN,Denver,59.0
2026-07-10T08:39:52+00:00,KLAX,Los Angeles,64.4
2026-07-10T08:39:52+00:00,KPHL,Philadelphia,75.2
2026-07-10T08:39:52+00:00,KAUS,Austin,75.2
2026-07-10T08:39:52+00:00,KMDW,Chicago,71.6
2026-07-10T11:30:39+00:00,KNYC,New York City,73.9
2026-07-10T11:30:39+00:00,KMIA,Miami,84.2
2026-07-10T11:30:39+00:00,KDEN,Denver,59.0
2026-07-10T11:30:39+00:00,KLAX,Los Angeles,66.2
2026-07-10T11:30:39+00:00,KPHL,Philadelphia,75.2
2026-07-10T11:30:39+00:00,KAUS,Austin,71.6
2026-07-10T11:30:39+00:00,KMDW,Chicago,71.6
2026-07-10T13:32:12+00:00,KNYC,New York City,78.1
2026-07-10T13:32:12+00:00,KMIA,Miami,87.8
2026-07-10T13:32:12+00:00,KDEN,Denver,63.0
2026-07-10T13:32:12+00:00,KLAX,Los Angeles,64.4
2026-07-10T13:32:12+00:00,KPHL,Philadelphia,80.6
2026-07-10T13:32:12+00:00,KAUS,Austin,77.0
2026-07-10T13:32:12+00:00,KMDW,Chicago,73.4
2026-07-10T16:02:05+00:00,KNYC,New York City,82.0
2026-07-10T16:02:05+00:00,KMIA,Miami,89.6
2026-07-10T16:02:05+00:00,KDEN,Denver,72.0
2026-07-10T16:02:05+00:00,KLAX,Los Angeles,66.2
2026-07-10T16:02:05+00:00,KPHL,Philadelphia,86.0
2026-07-10T16:02:05+00:00,KAUS,Austin,86.0
2026-07-10T16:02:05+00:00,KMDW,Chicago,78.8
2026-07-10T17:58:23+00:00,KNYC,New York City,81.0
2026-07-10T17:58:23+00:00,KMIA,Miami,91.4
2026-07-10T17:58:23+00:00,KDEN,Denver,80.1
2026-07-10T17:58:23+00:00,KLAX,Los Angeles,73.4
2026-07-10T17:58:23+00:00,KPHL,Philadelphia,86.0
2026-07-10T17:58:23+00:00,KAUS,Austin,91.4
2026-07-10T17:58:23+00:00,KMDW,Chicago,80.6
2026-07-10T19:21:27+00:00,KNYC,New York City,82.0
2026-07-10T19:21:27+00:00,KMIA,Miami,91.4
2026-07-10T19:21:27+00:00,KDEN,Denver,86.0
2026-07-10T19:21:27+00:00,KLAX,Los Angeles,73.4
2026-07-10T19:21:27+00:00,KPHL,Philadelphia,86.0
2026-07-10T19:21:27+00:00,KAUS,Austin,93.2
2026-07-10T19:21:27+00:00,KMDW,Chicago,80.6
2026-07-10T20:46:34+00:00,KNYC,New York City,82.0
2026-07-10T20:46:34+00:00,KMIA,Miami,91.4
2026-07-10T20:46:34+00:00,KDEN,Denver,88.0
2026-07-10T20:46:34+00:00,KLAX,Los Angeles,73.4
2026-07-10T20:46:34+00:00,KPHL,Philadelphia,86.0
2026-07-10T20:46:34+00:00,KAUS,Austin,93.2
2026-07-10T20:46:34+00:00,KMDW,Chicago,80.6
2026-07-10T21:46:21+00:00,KNYC,New York City,82.0
2026-07-10T21:46:21+00:00,KMIA,Miami,91.4
2026-07-10T21:46:21+00:00,KDEN,Denver,88.0
2026-07-10T21:46:21+00:00,KLAX,Los Angeles,71.6
2026-07-10T21:46:21+00:00,KPHL,Philadelphia,86.0
2026-07-10T21:46:21+00:00,KAUS,Austin,93.2
2026-07-10T21:46:21+00:00,KMDW,Chicago,78.8
2026-07-10T22:45:32+00:00,KNYC,New York City,82.0
2026-07-10T22:45:32+00:00,KMIA,Miami,89.6
2026-07-10T22:45:32+00:00,KDEN,Denver,88.0
2026-07-10T22:45:32+00:00,KLAX,Los Angeles,73.4
2026-07-10T22:45:32+00:00,KPHL,Philadelphia,86.0
2026-07-10T22:45:32+00:00,KAUS,Austin,91.4
2026-07-10T22:45:32+00:00,KMDW,Chicago,78.8
2026-07-10T23:43:48+00:00,KNYC,New York City,82.0
2026-07-10T23:43:48+00:00,KMIA,Miami,87.8
2026-07-10T23:43:48+00:00,KDEN,Denver,84.9
2026-07-10T23:43:48+00:00,KLAX,Los Angeles,73.4
2026-07-10T23:43:48+00:00,KPHL,Philadelphia,84.2
2026-07-10T23:43:48+00:00,KAUS,Austin,82.4
2026-07-10T23:43:48+00:00,KMDW,Chicago,77.0
2026-07-11T01:07:32+00:00,KNYC,New York City,81.0
2026-07-11T01:07:32+00:00,KMIA,Miami,87.8
2026-07-11T01:07:32+00:00,KDEN,Denver,64.9
2026-07-11T01:07:32+00:00,KLAX,Los Angeles,71.6
2026-07-11T01:07:32+00:00,KPHL,Philadelphia,84.2
2026-07-11T01:07:32+00:00,KAUS,Austin,77.0
2026-07-11T01:07:32+00:00,KMDW,Chicago,75.2
2026-07-11T04:24:42+00:00,KNYC,New York City,79.0
2026-07-11T04:24:42+00:00,KMIA,Miami,73.4
2026-07-11T04:24:42+00:00,KDEN,Denver,68.0
2026-07-11T04:24:42+00:00,KLAX,Los Angeles,66.2
2026-07-11T04:24:42+00:00,KPHL,Philadelphia,78.8
2026-07-11T04:24:42+00:00,KAUS,Austin,77.0
2026-07-11T04:24:42+00:00,KMDW,Chicago,73.4
2026-07-11T06:31:08+00:00,KNYC,New York City,77.0
2026-07-11T06:31:08+00:00,KMIA,Miami,73.4
2026-07-11T06:31:08+00:00,KDEN,Denver,68.0
2026-07-11T06:31:08+00:00,KLAX,Los Angeles,66.2
2026-07-11T06:31:08+00:00,KPHL,Philadelphia,77.0
2026-07-11T06:31:08+00:00,KAUS,Austin,75.2
2026-07-11T06:31:08+00:00,KMDW,Chicago,71.6
2026-07-11T08:25:25+00:00,KNYC,New York City,75.0
2026-07-11T08:25:25+00:00,KMIA,Miami,73.4
2026-07-11T08:25:25+00:00,KDEN,Denver,61.0
2026-07-11T08:25:25+00:00,KLAX,Los Angeles,66.2
2026-07-11T08:25:25+00:00,KPHL,Philadelphia,75.2
2026-07-11T08:25:25+00:00,KAUS,Austin,75.2
2026-07-11T08:25:25+00:00,KMDW,Chicago,71.6
2026-07-11T09:54:07+00:00,KNYC,New York City,77.0
2026-07-11T09:54:07+00:00,KMIA,Miami,75.2
2026-07-11T09:54:07+00:00,KDEN,Denver,61.0
2026-07-11T09:54:07+00:00,KLAX,Los Angeles,66.2
2026-07-11T09:54:07+00:00,KPHL,Philadelphia,73.4
2026-07-11T09:54:07+00:00,KAUS,Austin,75.2
2026-07-11T09:54:07+00:00,KMDW,Chicago,69.8
2026-07-11T10:49:34+00:00,KNYC,New York City,75.0
2026-07-11T10:49:34+00:00,KMIA,Miami,77.0
2026-07-11T10:49:34+00:00,KDEN,Denver,59.0
2026-07-11T10:49:34+00:00,KLAX,Los Angeles,66.2
2026-07-11T10:49:34+00:00,KPHL,Philadelphia,73.4
2026-07-11T10:49:34+00:00,KAUS,Austin,75.2
2026-07-11T10:49:34+00:00,KMDW,Chicago,69.8
2026-07-11T11:40:23+00:00,KNYC,New York City,73.9
2026-07-11T11:40:23+00:00,KMIA,Miami,78.8
2026-07-11T11:40:23+00:00,KDEN,Denver,59.0
2026-07-11T11:40:23+00:00,KLAX,Los Angeles,66.2
2026-07-11T11:40:23+00:00,KPHL,Philadelphia,75.2
2026-07-11T11:40:23+00:00,KAUS,Austin,75.2
2026-07-11T11:40:23+00:00,KMDW,Chicago,71.6
2026-07-11T12:37:35+00:00,KNYC,New York City,75.0
2026-07-11T12:37:35+00:00,KMIA,Miami,80.6
2026-07-11T12:37:35+00:00,KDEN,Denver,57.9
2026-07-11T12:37:35+00:00,KLAX,Los Angeles,66.2
2026-07-11T12:37:35+00:00,KPHL,Philadelphia,77.0
2026-07-11T12:37:35+00:00,KAUS,Austin,75.2
2026-07-11T12:37:35+00:00,KMDW,Chicago,73.4
2026-07-11T14:07:24+00:00,KNYC,New York City,75.0
2026-07-11T14:07:24+00:00,KMIA,Miami,84.2
2026-07-11T14:07:24+00:00,KDEN,Denver,64.9
2026-07-11T14:07:24+00:00,KLAX,Los Angeles,68.0
2026-07-11T14:07:24+00:00,KPHL,Philadelphia,82.4
2026-07-11T14:07:24+00:00,KAUS,Austin,80.6
2026-07-11T14:07:24+00:00,KMDW,Chicago,77.0
2026-07-11T15:11:46+00:00,KNYC,New York City,73.9
2026-07-11T15:11:46+00:00,KMIA,Miami,86.0
2026-07-11T15:11:46+00:00,KDEN,Denver,69.1
2026-07-11T15:11:46+00:00,KLAX,Los Angeles,69.8
2026-07-11T15:11:46+00:00,KPHL,Philadelphia,84.2
2026-07-11T15:11:46+00:00,KAUS,Austin,82.4
2026-07-11T15:11:46+00:00,KMDW,Chicago,78.8
2026-07-11T16:08:03+00:00,KNYC,New York City,71.1
2026-07-11T16:08:03+00:00,KMIA,Miami,87.8
2026-07-11T16:08:03+00:00,KDEN,Denver,73.0
2026-07-11T16:08:03+00:00,KLAX,Los Angeles,69.8
2026-07-11T16:08:03+00:00,KPHL,Philadelphia,87.8
2026-07-11T16:08:03+00:00,KAUS,Austin,86.0
2026-07-11T16:08:03+00:00,KMDW,Chicago,80.6
2026-07-11T17:12:17+00:00,KNYC,New York City,73.0
2026-07-11T17:12:17+00:00,KMIA,Miami,87.8
2026-07-11T17:12:17+00:00,KDEN,Denver,77.0
2026-07-11T17:12:17+00:00,KLAX,Los Angeles,71.6
2026-07-11T17:12:17+00:00,KPHL,Philadelphia,87.8
2026-07-11T17:12:17+00:00,KAUS,Austin,89.6
2026-07-11T17:12:17+00:00,KMDW,Chicago,82.4
2026-07-11T18:05:17+00:00,KNYC,New York City,75.9
2026-07-11T18:05:17+00:00,KMIA,Miami,89.6
2026-07-11T18:05:17+00:00,KDEN,Denver,81.0
2026-07-11T18:05:17+00:00,KLAX,Los Angeles,73.4
2026-07-11T18:05:17+00:00,KPHL,Philadelphia,87.8
2026-07-11T18:05:17+00:00,KAUS,Austin,
2026-07-11T18:05:17+00:00,KMDW,Chicago,82.4
2026-07-11T19:22:41+00:00,KNYC,New York City,79.0
2026-07-11T19:22:41+00:00,KMIA,Miami,89.6
2026-07-11T19:22:41+00:00,KDEN,Denver,84.2
2026-07-11T19:22:41+00:00,KLAX,Los Angeles,75.2
2026-07-11T19:22:41+00:00,KPHL,Philadelphia,78.8
2026-07-11T19:22:41+00:00,KAUS,Austin,75.2
2026-07-11T19:22:41+00:00,KMDW,Chicago,78.8
2026-07-11T20:13:26+00:00,KNYC,New York City,79.0
2026-07-11T20:13:26+00:00,KMIA,Miami,89.6
2026-07-11T20:13:26+00:00,KDEN,Denver,88.0
2026-07-11T20:13:26+00:00,KLAX,Los Angeles,75.2
2026-07-11T20:13:26+00:00,KPHL,Philadelphia,75.2
2026-07-11T20:13:26+00:00,KAUS,Austin,77.0
2026-07-11T20:13:26+00:00,KMDW,Chicago,78.8
2026-07-11T21:04:26+00:00,KNYC,New York City,81.0
2026-07-11T21:04:26+00:00,KMIA,Miami,87.8
2026-07-11T21:04:26+00:00,KDEN,Denver,91.9
2026-07-11T21:04:26+00:00,KLAX,Los Angeles,75.2
2026-07-11T21:04:26+00:00,KPHL,Philadelphia,75.2
2026-07-11T21:04:26+00:00,KAUS,Austin,78.8
2026-07-11T21:04:26+00:00,KMDW,Chicago,80.6
2026-07-11T22:03:28+00:00,KNYC,New York City,79.0
2026-07-11T22:03:28+00:00,KMIA,Miami,87.8
2026-07-11T22:03:28+00:00,KDEN,Denver,93.0
2026-07-11T22:03:28+00:00,KLAX,Los Angeles,73.4
2026-07-11T22:03:28+00:00,KPHL,Philadelphia,78.8
2026-07-11T22:03:28+00:00,KAUS,Austin,80.6
2026-07-11T22:03:28+00:00,KMDW,Chicago,78.8
2026-07-11T23:06:23+00:00,KNYC,New York City,78.1
2026-07-11T23:06:23+00:00,KMIA,Miami,87.8
2026-07-11T23:06:23+00:00,KDEN,Denver,93.0
2026-07-11T23:06:23+00:00,KLAX,Los Angeles,73.4
2026-07-11T23:06:23+00:00,KPHL,Philadelphia,78.8
2026-07-11T23:06:23+00:00,KAUS,Austin,82.4
2026-07-11T23:06:23+00:00,KMDW,Chicago,78.8
2026-07-12T00:07:03+00:00,KNYC,New York City,79.0
2026-07-12T00:07:03+00:00,KMIA,Miami,86.0
2026-07-12T00:07:03+00:00,KDEN,Denver,93.0
2026-07-12T00:07:03+00:00,KLAX,Los Angeles,71.6
2026-07-12T00:07:03+00:00,KPHL,Philadelphia,78.8
2026-07-12T00:07:03+00:00,KAUS,Austin,84.2
2026-07-12T00:07:03+00:00,KMDW,Chicago,80.6
2026-07-12T03:51:28+00:00,KNYC,New York City,73.0
2026-07-12T03:51:28+00:00,KMIA,Miami,84.2
2026-07-12T03:51:28+00:00,KDEN,Denver,80.1
2026-07-12T03:51:28+00:00,KLAX,Los Angeles,68.0
2026-07-12T03:51:28+00:00,KPHL,Philadelphia,73.4
2026-07-12T03:51:28+00:00,KAUS,Austin,77.0
2026-07-12T03:51:28+00:00,KMDW,Chicago,73.4
2026-07-12T06:23:29+00:00,KNYC,New York City,71.1
2026-07-12T06:23:29+00:00,KMIA,Miami,84.2
2026-07-12T06:23:29+00:00,KDEN,Denver,75.0
2026-07-12T06:23:29+00:00,KLAX,Los Angeles,68.0
2026-07-12T06:23:29+00:00,KPHL,Philadelphia,71.6
2026-07-12T06:23:29+00:00,KAUS,Austin,77.0
2026-07-12T06:23:29+00:00,KMDW,Chicago,73.4
2026-07-12T08:34:42+00:00,KNYC,New York City,72.0
2026-07-12T08:34:42+00:00,KMIA,Miami,84.2
2026-07-12T08:34:42+00:00,KDEN,Denver,71.1
2026-07-12T08:34:42+00:00,KLAX,Los Angeles,68.0
2026-07-12T08:34:42+00:00,KPHL,Philadelphia,71.6
2026-07-12T08:34:42+00:00,KAUS,Austin,77.0
2026-07-12T08:34:42+00:00,KMDW,Chicago,71.6
2026-07-12T10:11:48+00:00,KNYC,New York City,70.0
2026-07-12T10:11:48+00:00,KMIA,Miami,84.2
2026-07-12T10:11:48+00:00,KDEN,Denver,
2026-07-12T10:11:48+00:00,KLAX,Los Angeles,66.2
2026-07-12T10:11:48+00:00,KPHL,Philadelphia,73.4
2026-07-12T10:11:48+00:00,KAUS,Austin,75.2
2026-07-12T10:11:48+00:00,KMDW,Chicago,71.6
2026-07-12T11:25:22+00:00,KNYC,New York City,70.0
2026-07-12T11:25:22+00:00,KMIA,Miami,84.2
2026-07-12T11:25:22+00:00,KDEN,Denver,64.9
2026-07-12T11:25:22+00:00,KLAX,Los Angeles,66.2
2026-07-12T11:25:22+00:00,KPHL,Philadelphia,73.4
2026-07-12T11:25:22+00:00,KAUS,Austin,75.2
2026-07-12T11:25:22+00:00,KMDW,Chicago,69.8
2026-07-12T12:10:47+00:00,KNYC,New York City,70.0
2026-07-12T12:10:47+00:00,KMIA,Miami,84.2
2026-07-12T12:10:47+00:00,KDEN,Denver,64.9
2026-07-12T12:10:47+00:00,KLAX,Los Angeles,66.2
2026-07-12T12:10:47+00:00,KPHL,Philadelphia,75.2
2026-07-12T12:10:47+00:00,KAUS,Austin,75.2
2026-07-12T12:10:47+00:00,KMDW,Chicago,71.6
2026-07-12T13:52:24+00:00,KNYC,New York City,73.9
2026-07-12T13:52:24+00:00,KMIA,Miami,87.8
2026-07-12T13:52:24+00:00,KDEN,Denver,69.1
2026-07-12T13:52:24+00:00,KLAX,Los Angeles,68.0
2026-07-12T13:52:24+00:00,KPHL,Philadelphia,78.8
2026-07-12T13:52:24+00:00,KAUS,Austin,78.8
2026-07-12T13:52:24+00:00,KMDW,Chicago,78.8
2026-07-12T14:44:50+00:00,KNYC,New York City,75.9
